,TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,Unnamed: 8,style,place,time,"TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,"
28,1495289090.0,20/05/2017 14:04:50,17.9444,32.7778,61.0,1018.02,4.82803,151.0,,FP2,Paris,2016-2017,
29,1495289154.0,20/05/2017 14:05:54,18.0,32.7778,60.0,1018.02,4.82803,217.0,,FP2,Paris,2016-2017,
30,1495289219.0,20/05/2017 14:06:59,18.0,32.7778,60.0,1018.02,1.60934,223.0,,FP2,Paris,2016-2017,
31,1495289284.0,20/05/2017 14:08:04,18.0,32.7778,60.0,1017.95,3.21869,219.0,,FP2,Paris,2016-2017,
32,1495289349.0,20/05/2017 14:09:09,18.0,32.7778,60.0,1018.02,6.43738,236.0,,FP2,Paris,2016-2017,
33,1495289415.0,20/05/2017 14:10:15,18.0,32.2222,58.0,1018.12,3.21869,167.0,,FP2,Paris,2016-2017,
34,1495289479.0,20/05/2017 14:11:19,18.0,32.2222,58.0,1018.05,6.43738,186.0,,FP2,Paris,2016-2017,
35,1495289545.0,20/05/2017 14:12:25,18.0,32.2222,58.0,1018.19,8.04672,150.0,,FP2,Paris,2016-2017,
36,1495289610.0,20/05/2017 14:13:30,17.9444,32.2222,58.0,1018.16,4.82803,194.0,,FP2,Paris,2016-2017,
37,1495289675.0,20/05/2017 14:14:35,17.9444,32.7778,58.0,1018.09,8.04672,170.0,,FP2,Paris,2016-2017,
38,1495289741.0,20/05/2017 14:15:41,17.9444,32.7778,59.0,1018.05,3.21869,192.0,,FP2,Paris,2016-2017,
39,1495289805.0,20/05/2017 14:16:45,18.0,32.7778,59.0,1018.09,6.43738,179.0,,FP2,Paris,2016-2017,
40,1495289870.0,20/05/2017 14:17:50,18.0556,32.7778,59.0,1018.09,4.82803,127.0,,FP2,Paris,2016-2017,
41,1495289935.0,20/05/2017 14:18:55,18.1667,32.7778,59.0,1018.16,6.43738,239.0,,FP2,Paris,2016-2017,
42,1495290000.0,20/05/2017 14:20:00,18.1667,32.7778,59.0,1018.16,4.82803,240.0,,FP2,Paris,2016-2017,
43,1495290066.0,20/05/2017 14:21:06,18.2222,32.7778,59.0,1018.12,6.43738,189.0,,FP2,Paris,2016-2017,
44,1495290130.0,20/05/2017 14:22:10,18.2778,32.7778,58.0,1018.12,3.21869,249.0,,FP2,Paris,2016-2017,
45,1495290196.0,20/05/2017 14:23:16,18.3333,32.7778,58.0,1018.12,0.0,249.0,,FP2,Paris,2016-2017,
46,1495290261.0,20/05/2017 14:24:21,18.3333,32.7778,58.0,1018.02,1.60934,316.0,,FP2,Paris,2016-2017,
47,1495290326.0,20/05/2017 14:25:26,18.3333,32.7778,58.0,1018.05,4.82803,221.0,,FP2,Paris,2016-2017,
48,1495290392.0,20/05/2017 14:26:32,18.3333,33.3333,58.0,1018.09,6.43738,210.0,,FP2,Paris,2016-2017,
49,1495290456.0,20/05/2017 14:27:36,18.3889,33.3333,59.0,1018.16,3.21869,234.0,,FP2,Paris,2016-2017,
50,1495290521.0,20/05/2017 14:28:41,18.4444,33.3333,59.0,1018.16,4.82803,222.0,,FP2,Paris,2016-2017,
51,1495290586.0,20/05/2017 14:29:46,18.5,33.3333,59.0,1018.16,3.21869,259.0,,FP2,Paris,2016-2017,
52,1495290651.0,20/05/2017 14:30:51,18.5,33.3333,59.0,1018.19,3.21869,249.0,,FP2,Paris,2016-2017,
53,1495290717.0,20/05/2017 14:31:57,18.5556,33.3333,59.0,1018.16,1.60934,187.0,,FP2,Paris,2016-2017,
54,1495290781.0,20/05/2017 14:33:01,18.5556,33.3333,59.0,1018.12,4.82803,202.0,,FP2,Paris,2016-2017,
